Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
1,Daunte Culpepper*,MIN,27,QB,16,16,8-8-0,379,548,69.2,4717,39,7.1,11,2.0,224,82,8.6,9.1,12.4,294.8,110.9,46,238,7.7,7.54,8.02,1,3
2,Trent Green,KAN,34,QB,16,16,7-9-0,369,556,66.4,4591,27,4.9,17,3.1,230,70,8.3,7.9,12.4,286.9,95.2,32,227,5.4,7.42,7.04,3,3
3,Peyton Manning*+,IND,28,QB,16,16,12-4-0,336,497,67.6,4557,49,9.9,10,2.0,233,80,9.2,10.2,13.6,284.8,121.1,13,101,2.5,8.74,9.78,2,4
4,Jake Plummer,DEN,30,QB,16,16,10-6-0,303,521,58.2,4089,27,5.2,20,3.8,185,85,7.8,7.2,13.5,255.6,84.5,15,90,2.8,7.46,6.79,1,4
5,Brett Favre,GNB,35,QB,16,16,10-6-0,346,540,64.1,4088,30,5.6,17,3.1,205,79,7.6,7.3,11.8,255.5,92.4,12,93,2.2,7.24,6.94,3,4
6,Marc Bulger,STL,27,QB,14,14,8-6-0,321,485,66.2,3964,21,4.3,14,2.9,181,56,8.2,7.7,12.3,283.1,93.7,41,302,7.8,6.96,6.56,3,4
7,Jake Delhomme,CAR,29,QB,16,16,7-9-0,310,533,58.2,3886,29,5.4,15,2.8,193,63,7.3,7.1,12.5,242.9,87.3,33,246,5.8,6.43,6.26,2,3
8,Donovan McNabb*,PHI,28,QB,15,15,13-2-0,300,469,64.0,3875,31,6.6,8,1.7,174,80,8.3,8.8,12.9,258.3,104.7,32,192,6.4,7.35,7.87,2,2
9,Aaron Brooks,NOR,28,QB,16,16,8-8-0,309,542,57.0,3810,21,3.9,16,3.0,179,57,7.0,6.5,12.3,238.1,79.5,41,223,7.0,6.15,5.64,3,5
10,Tom Brady*,NWE,27,QB,16,16,14-2-0,288,474,60.8,3692,28,5.9,14,3.0,187,50,7.8,7.6,12.8,230.8,92.6,26,162,5.2,7.06,6.92,0,1
11,Vinny Testaverde,DAL,41,QB,16,15,5-10-0,297,495,60.0,3532,17,3.4,20,4.0,163,53,7.1,6.0,11.9,220.8,76.4,34,182,6.4,6.33,5.27,2,3
12,David Carr,HOU,25,QB,16,16,7-9-0,285,466,61.2,3531,16,3.4,14,3.0,172,69,7.6,6.9,12.4,220.7,83.5,49,301,9.5,6.27,5.67,1,1
