Coach,Tm, ,#,#, ,G,W,L,G,W,L,G,W,L,W%, ,G,W,L,G,W,L,G,W,L
Mike Budenholzer,ATL,,1,1,,82,38,44,82,38,44,82,38,44,.463,,7,3,4,7,3,4,7,3,4
Brad Stevens,BOS,,1,1,,82,25,57,82,25,57,82,25,57,.305,,,,,,,,,,
Jason Kidd,BRK,,1,1,,82,44,38,82,44,38,82,44,38,.537,,12,5,7,12,5,7,12,5,7
Steve Clifford,CHA,,1,1,,82,43,39,82,43,39,82,43,39,.524,,4,0,4,4,0,4,4,0,4
Tom Thibodeau,CHI,,4,4,,82,48,34,312,205,107,312,205,107,.657,,5,1,4,39,17,22,39,17,22
Mike Brown,CLE,,6,8,,82,33,49,492,305,187,563,347,216,.616,,,,,71,42,29,83,47,36
Rick Carlisle,DAL,,6,12,,82,49,33,476,288,188,968,569,399,.588,,7,3,4,48,26,22,110,56,54
Brian Shaw,DEN,,1,1,,82,36,46,82,36,46,82,36,46,.439,,,,,,,,,,
Maurice Cheeks,DET,,1,9,,50,21,29,50,21,29,620,305,315,.492,,,,,,,,16,5,11
John Loyer,DET,,1,1,,32,8,24,32,8,24,32,8,24,.250,,,,,,,,,,
Mark Jackson,GSW,,3,3,,82,51,31,230,121,109,230,121,109,.526,,7,3,4,19,9,10,19,9,10
Kevin McHale,HOU,,3,5,,82,54,28,230,133,97,324,172,152,.531,,6,2,4,12,4,8,12,4,8
Frank Vogel,IND,,4,4,,82,56,26,267,167,100,267,167,100,.625,,19,10,9,54,28,26,54,28,26
Doc Rivers,LAC,,1,15,,82,57,25,82,57,25,1142,644,498,.564,,13,6,7,13,6,7,134,70,64
Mike D'Antoni,LAL,,2,12,,82,27,55,154,67,87,881,455,426,.516,,,,,4,0,4,59,26,33
Dave Joerger,MEM,,1,1,,82,50,32,82,50,32,82,50,32,.610,,7,3,4,7,3,4,7,3,4
Erik Spoelstra,MIA,,6,6,,82,54,28,476,314,162,476,314,162,.660,,20,13,7,99,63,36,99,63,36
Larry Drew,MIL,,1,4,,82,15,67,82,15,67,312,143,169,.458,,,,,,,,24,10,14
Rick Adelman,MIN,,3,23,,82,40,42,230,97,133,1791,1042,749,.582,,,,,,,,157,79,78
Monty Williams,NOP,,4,4,,82,34,48,312,128,184,312,128,184,.410,,,,,6,2,4,6,2,4
Mike Woodson,NYK,,3,9,,82,37,45,188,109,79,680,315,365,.463,,,,,17,7,10,46,18,28
Scott Brooks,OKC,,6,6,,82,59,23,463,293,170,463,293,170,.633,,19,10,9,73,39,34,73,39,34
Jacque Vaughn,ORL,,2,2,,82,23,59,164,43,121,164,43,121,.262,,,,,,,,,,
Brett Brown,PHI,,1,1,,82,19,63,82,19,63,82,19,63,.232,,,,,,,,,,
Jeff Hornacek,PHO,,1,1,,82,48,34,82,48,34,82,48,34,.585,,,,,,,,,,
Terry Stotts,POR,,2,6,,82,54,28,164,87,77,447,202,245,.452,,11,5,6,11,5,6,16,6,10
Michael Malone,SAC,,1,1,,82,28,54,82,28,54,82,28,54,.341,,,,,,,,,,
Gregg Popovich,SAS,,18,18,,82,62,20,1410,967,443,1410,967,443,.686,,23,16,7,239,149,90,239,149,90
Dwane Casey,TOR,,3,5,,82,48,34,230,105,125,352,158,194,.449,,7,3,4,7,3,4,7,3,4
Tyrone Corbin,UTA,,4,4,,82,25,57,258,112,146,258,112,146,.434,,,,,4,0,4,4,0,4
Randy Wittman,WAS,,3,8,,82,44,38,213,91,122,520,191,329,.367,,11,6,5,11,6,5,11,6,5
