Coach,Tm, ,#,#, ,G,W,L,G,W,L,G,W,L,W%, ,G,W,L,G,W,L,G,W,L
Nate McMillan,ATL,,2,18,,82,43,39,120,70,50,1369,731,638,.534,,5,1,4,23,11,12,76,28,48
Ime Udoka,BOS,,1,1,,82,51,31,82,51,31,82,51,31,.622,,24,14,10,24,14,10,24,14,10
Steve Nash,BRK,,2,2,,82,44,38,154,92,62,154,92,62,.597,,4,0,4,16,7,9,16,7,9
Billy Donovan,CHI,,2,7,,82,46,36,154,77,77,554,320,234,.578,,5,1,4,5,1,4,46,19,27
James Borrego,CHO,,4,5,,82,43,39,301,138,163,331,148,183,.447,,,,,,,,,,
J.B. Bickerstaff,CLE,,3,6,,82,44,38,165,71,94,381,156,225,.409,,,,,,,,5,1,4
Jason Kidd,DAL,,1,6,,82,52,30,82,52,30,455,235,220,.516,,18,9,9,18,9,9,42,18,24
Michael Malone,DEN,,7,9,,82,48,34,555,314,241,661,353,308,.534,,5,1,4,48,21,27,48,21,27
Dwane Casey,DET,,4,13,,82,23,59,302,104,198,982,477,505,.486,,,,,4,0,4,55,21,34
Steve Kerr,GSW,,8,8,,82,53,29,629,429,200,629,429,200,.682,,22,16,6,127,93,34,127,93,34
Stephen Silas,HOU,,2,2,,82,20,62,154,37,117,154,37,117,.240,,,,,,,,,,
Rick Carlisle,IND,,5,20,,82,25,57,410,206,204,1607,861,746,.536,,,,,35,18,17,133,63,70
Tyronn Lue,LAC,,2,6,,82,42,40,154,89,65,365,217,148,.595,,,,,19,10,9,80,51,29
Frank Vogel,LAL,,3,11,,82,33,49,225,127,98,820,431,389,.526,,,,,27,18,9,88,49,39
Taylor Jenkins,MEM,,3,3,,82,56,26,227,128,99,227,128,99,.564,,12,6,6,17,7,10,17,7,10
Erik Spoelstra,MIA,,14,14,,82,53,29,1113,660,453,1113,660,453,.593,,18,11,7,161,96,65,161,96,65
Mike Budenholzer,MIL,,4,9,,82,51,31,309,213,96,719,426,293,.592,,12,7,5,60,38,22,99,55,44
Chris Finch,MIN,,2,2,,82,46,36,123,62,61,123,62,61,.504,,6,2,4,6,2,4,6,2,4
Willie Green,NOP,,1,1,,82,36,46,82,36,46,82,36,46,.439,,6,2,4,6,2,4,6,2,4
Tom Thibodeau,NYK,,2,10,,82,37,45,154,78,76,752,430,322,.572,,,,,5,1,4,61,25,36
Mark Daigneault,OKC,,2,2,,82,24,58,154,46,108,154,46,108,.299,,,,,,,,,,
Jamahl Mosley,ORL,,1,1,,82,22,60,82,22,60,82,22,60,.268,,,,,,,,,,
Doc Rivers,PHI,,2,23,,82,51,31,154,100,54,1778,1043,735,.587,,12,6,6,24,13,11,204,104,100
Monty Williams,PHO,,3,8,,82,64,18,227,149,78,621,322,299,.519,,13,7,6,35,21,14,45,23,22
Chauncey Billups,POR,,1,1,,82,27,55,82,27,55,82,27,55,.329,,,,,,,,,,
Luke Walton,SAC,,3,6,,17,6,11,161,68,93,407,166,241,.408,,,,,,,,,,
Alvin Gentry,SAC,,1,18,,65,24,41,65,24,41,1170,534,636,.456,,,,,,,,30,17,13
Gregg Popovich,SAS,,26,26,,82,34,48,2045,1344,701,2045,1344,701,.657,,,,,284,170,114,284,170,114
Nick Nurse,TOR,,4,4,,82,48,34,308,186,122,308,186,122,.604,,6,2,4,41,25,16,41,25,16
Quin Snyder,UTA,,8,8,,82,49,33,636,372,264,636,372,264,.585,,6,2,4,51,21,30,51,21,30
Wes Unseld,WAS,,1,1,,82,35,47,82,35,47,82,35,47,.427,,,,,,,,,,
