Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
1,Edgerrin James*,IND,22,RB,16,16,87,63,594,9.4,5,24,60,3.9,37.1,72.4%,6.8,387,1709,13,100,30,4.4,106.8,24.2,450,5.1,2303,18,5
2,Marshall Faulk*+,STL,27,RB,14,14,113,81,830,10.2,8,42,72,5.8,59.3,71.7%,7.3,253,1359,18,78,36,5.4,97.1,18.1,334,6.6,2189,26,0
3,Eddie George*+,TEN,27,RB,16,16,65,50,453,9.1,2,23,24,3.1,28.3,76.9%,7.0,403,1509,14,78,35,3.7,94.3,25.2,453,4.3,1962,16,5
4,Robert Smith*,MIN,28,RB,16,16,44,36,348,9.7,3,15,53,2.3,21.8,81.8%,7.9,295,1521,7,63,72,5.2,95.1,18.4,331,5.6,1869,10,4
5,Ricky Watters,SEA,31,RB,16,16,92,63,613,9.7,2,28,59,3.9,38.3,68.5%,6.7,278,1242,7,60,55,4.5,77.6,17.4,341,5.4,1855,9,5
6,Charlie Garner*,SFO,28,RB,16,15,94,68,647,9.5,3,28,62,4.3,40.4,72.3%,6.9,258,1142,7,57,42,4.4,71.4,16.1,326,5.5,1789,10,4
7,Ahman Green,GNB,23,RB,16,11,99,73,559,7.7,3,28,31,4.6,34.9,73.7%,5.6,263,1175,10,62,39,4.5,73.4,16.4,336,5.2,1734,13,6
8,Tiki Barber,NYG,25,RB,16,12,95,70,719,10.3,1,29,36,4.4,44.9,73.7%,7.6,213,1006,8,39,78,4.7,62.9,13.3,283,6.1,1725,9,9
9,Curtis Martin,NYJ,27,RB,16,16,96,70,508,7.3,2,25,31,4.4,31.8,72.9%,5.3,316,1204,9,64,55,3.8,75.3,19.8,386,4.4,1712,11,2
10,Rod Smith*,DEN,30,WR,16,16,173,100,1602,16.0,8,77,49,6.3,100.1,57.8%,9.3,6,99,1,3,50,16.5,6.2,0.4,106,16.0,1701,9,1
11,Jamal Lewis,BAL,21,RB,16,13,36,27,296,11.0,0,9,45,1.7,18.5,75.0%,8.2,309,1364,6,62,45,4.4,85.3,19.3,336,4.9,1660,6,6
12,Mike Anderson,DEN,27,RB,16,12,32,23,169,7.3,0,8,18,1.4,10.6,71.9%,5.3,297,1487,15,78,80,5.0,92.9,18.6,320,5.2,1656,15,4
13,Torry Holt*,STL,24,WR,16,15,139,82,1635,19.9,6,60,85,5.1,102.2,59.0%,11.8,2,7,0,0,7,3.5,0.4,0.1,84,19.5,1642,6,2
14,Fred Taylor,JAX,24,RB,13,13,53,36,240,6.7,2,11,19,2.8,18.5,67.9%,4.5,292,1399,12,73,71,4.8,107.6,22.5,328,5.0,1639,14,4
