Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
1,Warren Moon*,HOU,34,QB,15,15,8-7-0,362,584,62.0,4689,33,5.7,13,2.2,87,8.0,8.2,13.0,312.6,96.8,36,252,5.8,7.16,7.28,1,1
2,Jim Everett*,RAM,27,QB,16,16,5-11-0,307,554,55.4,3989,23,4.2,17,3.1,55,7.2,6.6,13.0,249.3,79.3,30,198,5.1,6.49,5.97,,
3,Joe Montana*+,SFO,34,QB,15,15,14-1-0,321,520,61.7,3944,26,5.0,16,3.1,78,7.6,7.2,12.3,262.9,89.0,29,153,5.3,6.91,6.54,3,5
4,Dan Marino,MIA,29,QB,16,16,12-4-0,306,531,57.6,3563,21,4.0,11,2.1,69,6.7,6.6,11.6,222.7,82.6,15,90,2.7,6.36,6.22,3,3
5,John Elway,DEN,30,QB,16,16,5-11-0,294,502,58.6,3526,15,3.0,14,2.8,66,7.0,6.4,12.0,220.4,78.5,43,311,7.9,5.90,5.29,1,3
6,Randall Cunningham*,PHI,27,QB,16,16,10-6-0,271,465,58.3,3466,30,6.5,13,2.8,95,7.5,7.5,12.8,216.6,91.6,49,431,9.5,5.90,5.93,3,3
7,Steve DeBerg,KAN,36,QB,16,16,11-5-0,258,444,58.1,3444,23,5.2,4,0.9,90,7.8,8.4,13.3,215.3,96.3,22,191,4.7,6.98,7.58,2,3
8,Dave Krieg,SEA,32,QB,16,16,9-7-0,265,448,59.2,3194,15,3.3,20,4.5,63,7.1,5.8,12.1,199.6,73.6,40,360,8.2,5.81,4.58,4,5
9,Timm Rosenbach,PHO,24,QB,16,16,5-11-0,237,437,54.2,3098,16,3.7,17,3.9,68,7.1,6.1,13.1,193.6,72.8,43,285,9.0,5.86,4.93,1,1
10,Boomer Esiason,CIN,29,QB,16,16,9-7-0,224,402,55.7,3031,24,6.0,22,5.5,53,7.5,6.3,13.5,189.4,77.0,31,198,7.2,6.54,5.36,2,4
11,Ken O'Brien,NYJ,30,QB,16,16,6-10-0,226,411,55.0,2855,13,3.2,10,2.4,69,6.9,6.5,12.6,178.4,77.3,34,262,7.6,5.83,5.40,0,0
12,Jay Schroeder,RAI,29,QB,16,16,12-4-0,182,334,54.5,2849,19,5.7,9,2.7,68,8.5,8.5,15.7,178.1,90.8,29,197,8.0,7.31,7.24,2,2
13,Jim Kelly*,BUF,30,QB,14,14,12-2-0,219,346,63.3,2829,24,6.9,9,2.6,71,8.2,8.4,12.9,202.1,101.2,20,158,5.5,7.30,7.50,1,1
14,Vinny Testaverde,TAM,27,QB,14,13,6-7-0,203,365,55.6,2818,17,4.7,18,4.9,89,7.7,6.4,13.9,201.3,75.6,38,330,9.4,6.17,5.01,3,3
15,Chris Miller,ATL,25,QB,12,12,3-9-0,222,388,57.2,2735,17,4.4,14,3.6,75,7.0,6.3,12.3,227.9,78.7,26,167,6.3,6.20,5.50,1,1
16,Bubby Brister,PIT,28,QB,16,16,9-7-0,223,387,57.6,2725,20,5.2,14,3.6,90,7.0,6.4,12.2,170.3,81.6,28,213,6.7,6.05,5.50,2,2
17,Troy Aikman,DAL,24,QB,15,15,7-8-0,226,399,56.6,2579,11,2.8,18,4.5,61,6.5,5.0,11.4,171.9,66.6,39,288,8.9,5.23,3.88,4,6
18,Billy Joe Tolliver,SDG,24,QB,15,14,6-8-0,216,410,52.7,2574,16,3.9,16,3.9,45,6.3,5.3,11.9,171.6,68.9,19,150,4.4,5.65,4.72,,
19,Bernie Kosar,CLE,27,QB,13,13,3-10-0,230,423,54.4,2562,10,2.4,15,3.5,50,6.1,4.9,11.1,197.1,65.7,37,220,8.0,5.09,4.06,1,1
20,Phil Simms,NYG,35,QB,14,14,11-3-0,184,311,59.2,2284,15,4.8,4,1.3,80,7.3,7.7,12.4,163.1,92.7,20,104,6.0,6.59,6.95,1,1
21,Rich Gannon,MIN,25,QB,14,12,5-7-0,182,349,52.1,2278,16,4.6,16,4.6,78,6.5,5.4,12.5,162.7,68.9,34,188,8.9,5.46,4.41,2,2
22,Jim Harbaugh,CHI,27,QB,14,14,10-4-0,180,312,57.7,2178,10,3.2,6,1.9,80,7.0,6.8,12.1,155.6,81.9,31,206,9.0,5.75,5.55,1,3
23,Jeff George,IND,23,QB,13,12,5-7-0,181,334,54.2,2152,16,4.8,13,3.9,75,6.4,5.6,11.9,165.5,73.8,37,320,10.0,4.94,4.22,3,2
24,Mark Rypien,WAS,28,QB,10,10,7-3-0,166,304,54.6,2070,16,5.3,11,3.6,53,6.8,6.2,12.5,207.0,78.4,6,33,1.9,6.57,6.01,1,1
25,Steve Walsh,2TM,24,QB,13,11,6-5-0,179,336,53.3,2010,12,3.6,13,3.9,58,6.0,5.0,11.2,154.6,67.2,10,76,2.9,5.59,4.59,2,4
26,Rodney Peete,DET,24,QB,11,11,4-7-0,142,271,52.4,1974,13,4.8,8,3.0,68,7.3,6.9,13.9,179.5,79.8,27,173,9.1,6.04,5.71,0,1
27,Don Majkowski,GNB,26,QB,9,8,4-4-0,150,264,56.8,1925,10,3.8,12,4.5,76,7.3,6.0,12.8,213.9,73.5,32,178,10.8,5.90,4.75,1,1
28,Marc Wilson,NWE,33,QB,16,6,0-6-0,139,265,52.5,1625,6,2.3,11,4.2,36,6.1,4.7,11.7,101.6,61.6,29,228,9.9,4.75,3.48,,
29,Anthony Dilweg,GNB,25,QB,9,7,2-5-0,101,192,52.6,1267,8,4.2,7,3.6,59,6.6,5.8,12.5,140.8,72.1,22,150,10.3,5.22,4.50,1,1
30,Bob Gagliano,DET,32,QB,9,4,2-2-0,87,159,54.7,1190,10,6.3,10,6.3,47,7.5,5.9,13.7,132.2,73.6,13,83,7.6,6.44,4.98,0,1
31,Wade Wilson,MIN,31,QB,6,4,1-3-0,82,146,56.2,1155,9,6.2,8,5.5,75,7.9,6.7,14.1,192.5,79.6,15,90,9.3,6.61,5.50,,
32,Jack Trudeau,IND,28,QB,6,4,2-2-0,84,144,58.3,1078,6,4.2,6,4.2,73,7.5,6.4,12.8,179.7,78.4,14,104,8.9,6.16,5.22,2,2
33,Stan Humphries,WAS,25,QB,7,5,3-2-0,91,156,58.3,1015,3,1.9,10,6.4,44,6.5,4.0,11.2,145.0,57.5,9,62,5.5,5.78,3.41,,
34,Tom Hodson,NWE,23,QB,7,6,0-6-0,85,156,54.5,968,4,2.6,5,3.2,56,6.2,5.3,11.4,138.3,68.5,20,147,11.4,4.66,3.84,,
35,Mike Pagel,CLE,30,QB,16,3,0-3-0,69,148,46.6,819,3,2.0,8,5.4,32,5.5,3.5,11.9,51.2,48.2,5,40,3.3,5.09,3.13,,
