,GP,W,L,T,PTS,PTS%,GF,GA,SRS,SOS
St. Louis Blues*,80,32,33,15,79,.494,281,293,-0.22,-0.07
Detroit Red Wings*,80,34,36,10,78,.488,260,274,-0.25,-0.07
Chicago Blackhawks*,80,29,37,14,72,.450,290,310,-0.32,-0.07
Toronto Maple Leafs*,80,32,42,6,70,.438,286,319,-0.46,-0.05
Minnesota North Stars,80,30,40,10,70,.438,296,314,-0.29,-0.07
Edmonton Oilers*,80,50,24,6,106,.663,372,284,1.06,-0.04
Calgary Flames*,80,46,31,3,95,.594,318,289,0.39,0.03
Winnipeg Jets*,80,40,32,8,88,.550,279,271,0.15,0.05
Los Angeles Kings*,80,31,41,8,70,.438,318,341,-0.20,0.09
Vancouver Canucks,80,29,43,8,66,.413,282,314,-0.30,0.10
Hartford Whalers*,80,43,30,7,93,.581,287,270,0.23,0.02
Montreal Canadiens*,80,41,29,10,92,.575,277,241,0.45,0.00
Boston Bruins*,80,39,34,7,85,.531,301,276,0.32,0.01
Quebec Nordiques*,80,31,39,10,72,.450,267,276,-0.07,0.05
Buffalo Sabres,80,28,44,8,64,.400,280,308,-0.28,0.07
Philadelphia Flyers*,80,46,26,8,100,.625,310,245,0.74,-0.08
Washington Capitals*,80,38,32,10,86,.538,285,278,0.07,-0.02
New York Islanders*,80,35,33,12,82,.513,279,281,-0.03,-0.01
New York Rangers*,80,34,38,8,76,.475,307,323,-0.19,0.01
Pittsburgh Penguins,80,30,38,12,72,.450,297,290,0.07,-0.02
New Jersey Devils,80,29,45,6,64,.400,293,368,-0.87,0.07
