Rk,Name,Age,Debut,LastGame,Pos,Tm,WAR,Ht,Wt,B,T,Birthdate,Birthplace,Draft/Signing,Schools,HighSchool,GivenName
1,Reggie Abercrombie,25.263,Apr 4,"Sep 28, 2008",8H9/7,FLA,-0.2,6-3,215,R,R,"Jul 15, 1980","Columbus, GA, US","Drafted by the Los Angeles Dodgers in the 23rd round of the 1999 amateur draft. Player signed May 24, 2000.","Florida Gateway College (Lake City, FL)","Columbus HS (Columbus, GA)",Reginald Damascus
2,Winston Abreu,29.123,Aug 6,"Jul 25, 2009",/1,BAL,-0.8,6-2,170,R,R,"Apr 5, 1977","Cotui, Sanchez Ramirez, DO",Signed by the Atlanta Braves as an amateur free agent in 1993.,,,Winston Leonardo
3,Matt Albers,23.186,Jul 25,"Sep 28, 2019",/1,HOU,2.4,6-1,225,L,R,"Jan 20, 1983","Houston, TX, US","Drafted by the Houston Astros in the 23rd round of the 2001 amateur draft. Player signed May 31, 2002.","San Jacinto College (Pasadena, TX)","William P. Clements HS (Sugar Land, TX)",Matthew James
4,Eliezer Alfonzo,27.116,Jun 3,"Sep 13, 2011",2/H,SFG,0.0,5-11,220,R,R,"Feb 7, 1979","Puerto La Cruz, Anzoategui, VE",Signed by the St. Louis Cardinals as an amateur free agent in 1996.,,"Puerto la Cruz (Puerto la Cruz, Venezuela)",Eliezer Jesus
5,Drew Anderson,25.094,Sep 11,"Oct 1, 2006",/H79,MIL,-0.1,6-2,195,L,R,"Jun 9, 1981","Kearney, NE, US","Drafted by the Milwaukee Brewers in the 24th round of the 2003 amateur draft. Player signed June 5, 2003.","University of Nebraska-Lincoln (Lincoln, NE)","Kearney HS (Kearney, NE)",Drew Thomas
6,Steve Andrade,28.084,May 1,"May 10, 2006",/1,KCR,-0.1,6-1,220,R,R,"Feb 6, 1978","Woodland, CA, US","Drafted by the Anaheim Angels in the 32nd round of the 2001 amateur draft. Player signed June 7, 2001.","American River College (Sacramento, CA), California State University, Stanislaus (Turlock, CA)","American River HS (Woodland, CA), Woodland HS (Woodland, CA)",Stephen Michael
7,Joaquin Arias,21.357,Sep 13,"Jul 24, 2015",/6H5,TEX,1.0,6-1,185,R,R,"Sep 21, 1984","Santo Domingo, Distrito Nacional, DO",Signed by the New York Yankees as an amateur free agent in 2001.,,,Joaquin
8,Erick Aybar,22.122,May 16,"Oct 1, 2017",6H/D4,LAA,22.8,5-10,195,B,R,"Jan 14, 1984","Bani, Peravia, DO",Signed by the Anaheim Angels as an amateur free agent in 2002.,,"Freddie Pimental (Freddie Pimental, Dominican Republic)",Erick Johan
9,Brian Bannister,25.036,Apr 5,"Sep 17, 2010",/1,NYM,4.9,6-2,202,R,R,"Feb 28, 1981","Scottsdale, AZ, US","Drafted by the New York Mets in the 7th round of the 2003 amateur draft. Player signed June 7, 2003.","University of Southern California (Los Angeles, CA)","Chaparral HS (Scottsdale, AZ)",Brian Patrick
10,Josh Barfield,23.107,Apr 3,"Jun 25, 2009",*4/H,SDP,2.6,6-0,190,R,R,"Dec 17, 1982","Barquisimeto, Lara, VE","Drafted by the San Diego Padres in the 4th round of the 2001 amateur draft. Player signed June 15, 2001.",,"Klein HS (Klein, TX), Spring HS (Spring, TX)",Joshua LaRoy
11,Chris Barnwell,27.111,Jun 20,"Jul 25, 2006",/645H,MIL,-0.5,5-10,180,R,R,"Mar 1, 1979","Jacksonville, FL, US","Drafted by the Milwaukee Brewers in the 25th round of the 2001 amateur draft. Player signed June 9, 2001.","Flagler College (St. Augustine, FL)","Allen D. Nease HS (Ponte Vedra Beach, FL)",Christopher Edward
12,Kevin Barry,27.312,Jun 26,"May 13, 2007",1,ATL,-0.2,6-2,235,R,R,"Aug 18, 1978","Princeton Junction, NJ, US","Drafted by the Atlanta Braves in the 14th round of the 2001 amateur draft. Player signed June 7, 2001.","Rider University (Lawrenceville, NJ)","West Windsor-Plainsboro HS (Princeton Junction, NJ)",Kevin Thomas
13,Philip Barzilla,27.137,Jun 11,"Jun 11, 2006",/1,HOU,0.0,6-0,180,L,L,"Jan 25, 1979","Houston, TX, US","Drafted by the Houston Astros in the 4th round of the 2001 amateur draft. Player signed June 8, 2001.","Alvin Community College (Alvin, TX), Rice University (Houston, TX)","Dulles HS (Sugar Land, TX)",Philip Joseph
