Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
1,Patrick Willis*+,SFO,24,RILB,16,16,3,33,1,23,8,3,0,0,0,0,4.0,152,114,38,13,11,
2,Jon Beason*,CAR,24,MLB,16,16,3,46,0,18,7,1,0,2,0,0,3.0,141,111,30,14,5,
3,Kirk Morrison,OAK,27,MLB,16,16,0,0,0,0,1,3,1,1,8,0,2.0,133,109,24,10,2,
4,James Laurinaitis,STL,23,MLB,16,16,2,28,0,21,5,0,0,1,0,0,2.0,121,108,13,7,6,
5,Barrett Ruud,TAM,26,MLB,16,16,1,23,0,21,7,1,0,0,0,0,0.0,143,107,36,3,0,
6,Curtis Lofton,ATL,23,MLB,16,16,0,0,0,0,2,2,,,,,0.0,133,105,28,4,2,
7,D.J. Williams,DEN,27,RILB,16,16,0,0,0,0,7,3,0,2,8,0,3.5,122,100,22,13,5,
8,Tyvon Branch,OAK,23,SS,16,16,0,0,0,0,8,2,0,0,0,0,1.0,124,98,26,6,1,
9,Brian Dawkins*,DEN,36,FS,16,16,2,0,0,0,10,1,0,3,0,0,0.0,116,95,21,6,2,
10,London Fletcher*,WAS,34,MLB,16,16,1,2,0,2,6,1,0,0,0,0,2.0,142,95,47,7,3,
11,Ray Lewis*+,BAL,34,RILB,16,16,0,9,0,9,8,2,0,1,1,0,3.0,134,95,39,10,7,
12,Demorrio Williams,KAN,29,LILB,16,13,0,0,0,0,6,,,,,,0.0,117,95,22,3,0,
13,David Hawthorne,SEA,24,MLB,16,11,3,9,0,5,5,1,0,1,36,0,4.0,117,94,23,10,5,
14,Stephen Tulloch,TEN,24,MLB,16,13,0,0,0,0,1,0,0,1,0,0,2.0,121,94,27,9,5,
15,Lance Briggs*,CHI,29,LLB,15,15,1,0,0,0,5,,,,,,2.5,118,93,25,7,5,
16,DeMeco Ryans *,HOU,25,MLB,16,16,0,0,0,0,2,1,0,1,29,0,1.0,123,93,30,14,5,
17,Yeremiah Bell*,MIA,31,FS,16,15,3,48,0,29,8,,,,,,1.5,114,92,22,3,3,
18,Karlos Dansby,ARI,28,LILB,16,16,1,11,0,11,4,1,0,0,0,0,1.0,109,89,20,7,6,
19,Paul Posluszny,BUF,25,MLB,12,12,3,20,0,17,4,3,0,0,0,0,1.0,111,88,23,5,6,
20,Jonathan Vilma*,NOR,27,MLB,15,15,3,25,0,11,8,,,,,,2.0,110,87,23,10,10,
21,Brian Cushing*,HOU,22,LLB,16,16,4,26,0,20,10,2,0,0,0,0,4.0,133,86,47,12,12,1
22,Roman Harper*,NOR,27,SS,16,16,0,0,0,0,5,2,0,0,0,0,1.5,103,85,18,11,5,
23,Daryl Smith,JAX,27,LLB,16,16,1,10,0,10,6,3,0,2,0,0,1.5,107,84,23,6,5,
24,Nick Barnett,GNB,28,RILB,16,16,0,0,0,0,7,,,,,,4.0,106,83,23,12,4,
25,Clint Session,IND,25,RLB,14,14,2,35,1,27,5,1,0,0,0,0,0.5,102,83,19,3,4,
26,Erik Coleman,ATL,27,SS,16,16,0,0,0,0,5,2,,,,,0.0,116,82,34,3,0,
27,David Harris,NYJ,25,RILB,16,16,2,24,0,14,3,2,0,0,0,0,5.5,127,82,45,4,13,
28,Mike Peterson,ATL,33,RLB,16,16,1,39,0,39,7,2,0,0,0,0,1.0,109,82,27,7,2,
29,Bernard Pollard,HOU,25,SS,13,13,4,121,1,70,7,1,0,3,0,1,1.5,102,82,20,4,2,
30,Keith Bulluck,TEN,32,RLB,14,14,3,45,0,23,7,0,0,1,0,0,0.0,108,81,27,3,0,
31,Justin Durant,JAX,24,MLB,13,13,1,27,0,27,2,1,0,0,0,0,1.0,98,81,17,3,2,
32,Gary Brackett,IND,29,MLB,14,14,1,8,0,8,5,0,0,1,0,0,1.0,99,80,19,4,7,
33,Chad Greenway,MIN,26,LLB,16,16,3,49,0,36,6,1,1,3,0,0,0.0,99,80,19,3,2,
34,Geno Hayes,TAM,22,RLB,15,13,2,21,0,20,6,1,0,1,0,0,3.0,98,80,18,15,12,
35,Bradie James,DAL,28,LILB,16,16,0,0,0,0,5,1,0,1,0,0,2.0,113,80,33,6,5,
36,Mike Brown,KAN,31,SS,16,16,3,13,0,10,3,0,0,1,4,0,2.0,103,79,24,3,2,
37,Will Witherspoon,2TM,29,,17,16,1,9,1,9,5,1,0,0,0,0,1.0,90,79,11,5,1,
38,LaRon Landry,WAS,25,FS,15,15,1,12,0,12,6,2,0,0,0,0,1.0,90,78,12,3,2,
39,Dhani Jones,CIN,31,MLB,16,16,0,0,0,0,4,1,0,2,0,0,3.5,113,77,36,9,6,
40,Dashon Goldson,SFO,25,FS,16,16,4,39,0,34,6,3,0,1,0,0,2.0,94,76,18,1,2,
41,Jordan Babineaux,SEA,27,FS,16,16,2,18,0,18,6,1,0,0,0,0,1.5,104,75,29,3,3,
42,Keith Brooking,DAL,34,RILB,16,14,0,0,0,0,7,,,,,,3.0,106,75,31,7,9,
43,Reed Doughty,WAS,27,SS,15,7,1,13,0,13,3,0,0,1,0,0,2.0,91,75,16,6,2,
44,Richard Marshall,CAR,25,RCB,16,16,4,47,0,28,9,0,0,2,0,0,0.0,88,75,13,0,0,
45,Abram Elam,CLE,28,FS,16,16,0,0,0,0,2,1,0,1,0,0,1.0,91,74,17,3,2,
46,Gibril Wilson,MIA,28,SS,16,14,0,0,0,0,7,,,,,,1.0,93,73,20,1,3,
47,Thomas Howard,OAK,26,RLB,16,15,0,0,0,0,6,1,0,1,0,0,2.0,79,72,7,11,3,
48,Stephen Cooper,SDG,30,LILB,16,16,0,0,0,0,8,2,0,2,0,0,0.0,102,71,31,2,0,
49,Michael Lewis,SFO,29,SS,15,15,1,0,0,0,2,2,0,1,0,0,1.0,82,71,11,3,4,
50,Danieal Manning,CHI,27,FS,15,10,1,35,0,35,2,3,0,3,4,0,1.0,91,71,20,1,1,1
51,Antoine Bethea*,IND,25,FS,16,16,4,19,0,19,5,2,0,1,0,0,0.0,95,70,25,2,1,
52,Larry Foote,DET,29,MLB,14,14,0,0,0,0,4,1,0,1,0,0,2.0,99,70,29,11,3,
53,William Gay,PIT,24,RCB,16,14,0,0,0,0,10,1,0,0,0,0,1.0,78,70,8,4,2,
54,Dawan Landry,BAL,27,SS,16,16,4,89,1,48,8,1,0,0,0,0,0.0,89,70,19,5,0,
55,Jerod Mayo,NWE,23,LILB,13,12,0,0,0,0,1,1,0,0,0,0,1.5,103,70,33,2,4,
