,GP,W,L,T,PTS,PTS%,GF,GA,SRS,SOS
Detroit Red Wings*,80,34,34,12,80,.500,313,316,-0.17,-0.14
St. Louis Blues*,80,33,35,12,78,.488,275,285,-0.25,-0.13
Minnesota North Stars*,80,27,37,16,70,.438,258,278,-0.37,-0.12
Chicago Blackhawks*,80,27,41,12,66,.413,297,335,-0.57,-0.10
Toronto Maple Leafs,80,28,46,6,62,.388,259,342,-1.08,-0.05
Calgary Flames*,80,54,17,9,117,.731,354,226,1.57,-0.03
Los Angeles Kings*,80,42,31,7,91,.569,376,335,0.58,0.07
Edmonton Oilers*,80,38,34,8,84,.525,325,306,0.33,0.10
Vancouver Canucks*,80,33,39,8,74,.463,251,253,0.10,0.12
Winnipeg Jets,80,26,42,12,64,.400,300,355,-0.51,0.18
Montreal Canadiens*,80,53,18,9,115,.719,315,218,1.16,-0.06
Boston Bruins*,80,37,29,14,88,.550,289,256,0.43,0.02
Buffalo Sabres*,80,38,35,7,83,.519,291,299,-0.04,0.06
Hartford Whalers*,80,37,38,5,79,.494,299,290,0.16,0.04
Quebec Nordiques,80,27,46,7,61,.381,269,342,-0.78,0.14
Washington Capitals*,80,41,29,10,92,.575,305,259,0.50,-0.07
Pittsburgh Penguins*,80,40,33,7,87,.544,347,349,-0.05,-0.02
New York Rangers*,80,37,35,8,82,.513,310,307,0.01,-0.03
Philadelphia Flyers*,80,36,36,8,80,.500,307,285,0.23,-0.05
New Jersey Devils,80,27,41,12,66,.413,281,325,-0.53,0.02
New York Islanders,80,28,47,5,61,.381,265,325,-0.72,0.04
