Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
1,Jon Beason*+,CAR,23,MLB,16,16,3,52,0,44,8,0,0,1,12,0,0.0,138,110,28,3,1,
2,Patrick Willis*,SFO,23,MLB,16,16,1,86,1,86,10,1,0,1,0,0,1.0,141,109,32,8,3,
3,Eric Weddle,SDG,23,FS,16,16,1,3,0,3,5,0,0,1,86,1,1.0,127,105,22,3,0,
4,Kirk Morrison,OAK,26,MLB,16,16,1,0,0,0,1,2,0,0,0,0,1.0,137,101,36,2,1,
5,Barrett Ruud,TAM,25,MLB,16,16,2,10,0,10,6,0,0,1,0,0,3.0,136,101,35,6,5,
6,Yeremiah Bell,MIA,30,SS,16,16,0,0,0,0,10,3,0,1,0,0,1.0,120,100,20,3,1,
7,Jerod Mayo,NWE,22,LILB,16,16,0,0,0,0,4,1,0,1,0,0,0.0,128,100,28,5,1,
8,Jonathan Vilma,NOR,26,MLB,16,16,1,8,0,8,6,2,0,3,6,0,1.0,132,98,34,4,5,
9,Gibril Wilson,OAK,27,SS,16,15,2,5,0,5,3,1,0,3,9,0,1.5,134,98,36,3,2,1
10,London Fletcher,WAS,33,MLB,16,16,0,0,0,0,5,1,0,1,12,0,0.5,133,96,37,7,3,
11,Karlos Dansby,ARI,27,RLB,16,16,2,47,0,34,5,2,1,3,0,0,4.0,119,95,24,10,3,
12,D'Qwell Jackson,CLE,25,RILB,16,16,3,29,0,16,6,,,,,,2.0,154,95,59,3,4,
13,Eric Barton,NYJ,31,LILB,16,16,0,0,0,0,4,1,0,1,1,0,1.5,119,93,26,2,4,
14,Thomas Davis,CAR,25,RLB,16,16,0,0,0,0,6,2,0,1,0,0,3.5,114,93,21,12,6,
15,Channing Crowder,MIA,25,LILB,15,13,0,0,0,0,6,1,0,1,11,0,0.0,113,92,21,6,4,
16,Lance Briggs*,CHI,28,RLB,16,16,3,12,0,9,11,1,0,2,21,1,0.5,110,90,20,8,2,
17,James Farrior*,PIT,33,LILB,16,16,0,0,0,0,5,1,0,1,0,0,3.5,133,89,44,9,6,
18,Pisa Tinoisamoa,STL,27,RLB,16,16,0,0,0,0,2,2,0,0,0,0,3.0,104,88,16,10,5,
19,Chad Greenway,MIN,25,LLB,16,15,0,0,0,0,5,3,0,0,0,0,5.5,116,87,29,11,8,
20,Paul Posluszny,BUF,24,MLB,16,16,1,9,0,9,6,1,0,1,0,0,0.0,110,87,23,3,3,
21,Stewart Bradley,PHI,25,MLB,16,16,1,17,0,17,6,1,0,1,0,0,1.0,108,86,22,10,4,
22,DeMeco Ryans,HOU,24,MLB,16,16,0,0,0,0,4,2,0,3,47,0,1.0,112,86,26,5,4,
23,Ray Lewis*+,BAL,33,LILB,16,16,3,43,0,29,9,2,0,2,0,0,3.5,118,85,33,9,12,
24,Chris Gamble,CAR,25,LCB,16,16,3,23,0,19,19,1,0,2,41,1,0.0,93,83,10,4,0,
25,Roman Harper,NOR,26,SS,15,15,0,0,0,0,9,1,,,,,0.0,89,82,7,4,1,
26,Antoine Winfield*,MIN,31,LCB,16,16,2,5,0,4,11,4,0,2,28,1,2.0,96,82,14,12,1,
27,Bradie James,DAL,27,LILB,16,16,0,0,0,0,4,3,0,2,0,0,8.0,117,81,36,15,12,
28,Paris Lenon,DET,31,MLB,16,16,0,0,0,0,3,2,0,2,0,0,1.5,122,81,41,7,3,
29,Charles Tillman,CHI,27,LCB,15,15,3,52,1,26,17,4,0,0,0,0,0.0,93,81,12,1,1,
30,Erik Coleman,ATL,26,FS,16,16,3,48,0,32,6,2,0,0,0,0,0.0,95,80,15,1,0,
31,Cedric Griffin,MIN,26,RCB,16,15,1,-2,0,-2,14,4,0,0,0,0,0.0,91,80,11,2,0,
32,Thomas Howard,OAK,25,RLB,16,16,1,-3,0,-3,5,2,0,0,0,0,1.0,97,80,17,8,2,
33,Freddy Keiaho,IND,26,RLB,14,14,,,,,,0,1,3,-2,0,0.0,105,79,26,5,2,
34,Bernard Pollard,KAN,24,SS,16,16,1,0,0,0,1,2,0,3,0,0,0.0,98,79,19,1,1,
35,Antrel Rolle,ARI,26,FS,16,16,1,40,1,40,5,,,,,,0.0,90,79,11,1,1,
36,Brian Urlacher,CHI,30,MLB,16,16,2,11,0,11,9,0,0,1,0,0,0.0,93,79,14,10,3,
37,O.J. Atogwe,STL,27,FS,16,16,5,91,0,43,5,6,0,3,75,1,0.0,85,77,8,1,0,
38,Corey Graham,CHI,23,RCB,16,9,1,6,0,6,8,1,0,1,0,0,0.0,90,76,14,3,0,
39,Michael Lewis,SFO,28,SS,16,16,0,0,0,0,7,1,0,1,4,0,2.0,96,76,20,9,3,
40,Lawyer Milloy,ATL,35,SS,15,15,1,38,0,38,5,1,0,0,0,0,0.0,92,76,16,1,2,
41,Keith Bulluck,TEN,31,RLB,16,16,0,0,0,0,6,1,0,1,0,0,0.5,98,75,23,6,1,
42,Quentin Jammer,SDG,29,LCB,16,16,2,2,0,2,19,3,0,2,23,0,0.0,88,75,13,1,0,
43,Dhani Jones,CIN,30,MLB,16,16,1,13,0,13,8,1,0,1,0,0,0.0,116,75,41,6,2,
44,Brian Williams,JAX,29,RCB,16,16,2,31,0,27,10,,,,,,0.0,83,75,8,5,0,
45,Antoine Bethea,IND,24,FS,16,16,2,0,0,0,4,0,0,1,0,0,0.0,101,74,27,2,0,
46,Kevin Payne,CHI,25,SS,16,16,4,147,0,50,7,,,,,,1.0,89,74,15,3,1,
47,Clint Session,IND,24,LLB,16,15,,,,,,2,,,,,0.0,94,74,20,11,0,
48,Jamie Winborn,DEN,29,LLB,16,11,0,0,0,0,11,,,,,,0.5,99,74,25,5,2,
49,Stephen Cooper,SDG,29,LILB,12,12,4,11,0,10,6,,,,,,1.5,99,72,27,3,2,
50,Antonio Pierce,NYG,30,MLB,15,15,0,0,0,0,2,2,0,0,0,0,1.5,95,72,23,5,1,
51,Gary Brackett,IND,28,MLB,12,12,0,0,0,0,1,1,0,1,68,1,0.0,100,71,29,1,1,
52,Keith Brooking,ATL,33,RLB,16,16,0,0,0,0,4,,,,,,0.0,102,71,31,2,3,
53,Ernie Sims,DET,24,RLB,16,16,0,0,0,0,1,,,,,,1.0,113,71,42,4,2,
54,Brandon Carr,KAN,22,LCB,16,16,2,67,0,35,6,0,0,2,17,0,0.0,73,70,3,3,0,
55,Mike Peterson,JAX,32,MLB,15,10,,,,,,,,,,,1.0,84,70,14,1,3,
56,Derrick Johnson,KAN,26,RLB,14,14,1,7,0,7,6,4,0,0,0,0,1.5,86,69,17,6,2,
57,Lofa Tatupu,SEA,26,MLB,15,15,1,16,0,16,4,1,0,0,0,0,0.0,94,69,25,3,4,
58,DeMarcus Ware*+,DAL,26,ROLB,16,16,0,0,0,0,2,6,0,1,0,0,20.0,84,69,15,27,30,
59,Josh Wilson,SEA,23,RCB,16,12,4,135,1,75,9,3,3,2,0,0,1.0,76,69,7,3,1,
60,Nick Harper,TEN,34,LCB,13,13,2,11,0,11,14,1,0,0,0,0,0.0,71,68,3,1,0,
61,Richard Marshall,CAR,24,DB,16,0,1,11,0,11,4,,,,,,2.0,75,68,7,4,3,
62,Quintin Mikell,PHI,28,SS,16,16,3,53,0,41,9,2,0,0,0,0,2.0,93,68,25,2,3,
