Coach,Tm, ,#,#, ,G,W,L,G,W,L,G,W,L,W%, ,G,W,L,G,W,L,G,W,L
Lloyd Pierce,ATL,,1,1,,82,29,53,82,29,53,82,29,53,.354,,,,,,,,,,
Brad Stevens,BOS,,6,6,,82,49,33,492,270,222,492,270,222,.549,,9,5,4,56,27,29,56,27,29
Kenny Atkinson,BRK,,3,3,,82,42,40,246,90,156,246,90,156,.366,,5,1,4,5,1,4,5,1,4
Fred Hoiberg,CHI,,4,4,,24,5,19,270,115,155,270,115,155,.426,,,,,6,2,4,6,2,4
Jim Boylen,CHI,,1,1,,58,17,41,58,17,41,58,17,41,.293,,,,,,,,,,
James Borrego,CHO,,1,2,,82,39,43,82,39,43,112,49,63,.438,,,,,,,,,,
Tyronn Lue,CLE,,4,4,,6,0,6,211,128,83,211,128,83,.607,,,,,61,41,20,61,41,20
Larry Drew,CLE,,1,5,,76,19,57,76,19,57,388,162,226,.418,,,,,,,,24,10,14
Rick Carlisle,DAL,,11,17,,82,33,49,886,470,416,1378,751,627,.545,,,,,58,28,30,120,58,62
Michael Malone,DEN,,4,6,,82,54,28,328,173,155,434,212,222,.488,,14,7,7,14,7,7,14,7,7
Dwane Casey,DET,,1,10,,82,41,41,82,41,41,762,414,348,.543,,4,0,4,4,0,4,55,21,34
Steve Kerr,GSW,,5,5,,82,57,25,410,322,88,410,322,88,.785,,22,14,8,105,77,28,105,77,28
Mike D'Antoni,HOU,,3,15,,82,53,29,246,173,73,1127,628,499,.557,,11,6,5,39,23,16,98,49,49
Nate McMillan,IND,,3,15,,82,48,34,246,138,108,1176,616,560,.524,,4,0,4,15,3,12,49,17,32
Doc Rivers,LAC,,6,20,,82,48,34,492,307,185,1552,894,658,.576,,6,2,4,46,20,26,167,84,83
Luke Walton,LAL,,3,3,,82,37,45,246,98,148,246,98,148,.398,,,,,,,,,,
J.B. Bickerstaff,MEM,,2,3,,82,33,49,145,48,97,216,85,131,.394,,,,,,,,5,1,4
Erik Spoelstra,MIA,,11,11,,82,39,43,886,523,363,886,523,363,.590,,,,,118,71,47,118,71,47
Mike Budenholzer,MIL,,1,6,,82,60,22,82,60,22,492,273,219,.555,,15,10,5,15,10,5,54,27,27
Tom Thibodeau,MIN,,3,8,,40,19,21,204,97,107,598,352,246,.589,,,,,5,1,4,56,24,32
Ryan Saunders,MIN,,1,1,,42,17,25,42,17,25,42,17,25,.405,,,,,,,,,,
Alvin Gentry,NOP,,4,16,,82,33,49,328,145,183,1033,480,553,.465,,,,,9,5,4,30,17,13
David Fizdale,NYK,,1,3,,82,17,65,82,17,65,183,67,116,.366,,,,,,,,6,2,4
Billy Donovan,OKC,,4,4,,82,49,33,328,199,129,328,199,129,.607,,5,1,4,34,15,19,34,15,19
Steve Clifford,ORL,,1,6,,82,42,40,82,42,40,492,238,254,.484,,5,1,4,5,1,4,16,4,12
Brett Brown,PHI,,6,6,,82,51,31,492,178,314,492,178,314,.362,,12,7,5,22,12,10,22,12,10
Igor Kokoskov,PHO,,1,1,,82,19,63,82,19,63,82,19,63,.232,,,,,,,,,,
Terry Stotts,POR,,7,11,,82,53,29,574,325,249,857,440,417,.513,,16,8,8,51,19,32,56,20,36
Dave Joerger,SAC,,3,6,,82,39,43,246,98,148,492,245,247,.498,,,,,,,,22,9,13
Gregg Popovich,SAS,,23,23,,82,48,34,1820,1245,575,1820,1245,575,.684,,7,3,4,284,170,114,284,170,114
Nick Nurse,TOR,,1,1,,82,58,24,82,58,24,82,58,24,.707,,24,16,8,24,16,8,24,16,8
Quin Snyder,UTA,,5,5,,82,50,32,410,227,183,410,227,183,.554,,5,1,4,27,10,17,27,10,17
Scott Brooks,WAS,,3,10,,82,32,50,246,124,122,791,462,329,.584,,,,,19,9,10,92,48,44
